text,label,text_length
"As a Developer, I want to implement keyboard navigation in our application to improve accessibility for users with motor disabilities.",Accessibility,134
"As a Quality Assurance Engineer, I want to verify that all elements of our application have appropriate alt text to improve screen reader accessibility.",Accessibility,152
"﻿As a Data user, I want to have the 12-19-2017 deletions processed.",Accessibility,67
"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",Consistency,105
"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",Aggregation,146
"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",Consistency,127
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Consistency,110
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",Consistency,115
"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",Aggregation,126
"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",Consistency,171
"As a DevOps engineer, I want New Relic to provide useful data across all applications.",Consistency,86
"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",Consistency,116
"As a Broker user, I want to Upload and Validate the error message to have accurate text.",Authentication,88
"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Consistency,156
"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",Accessibility,106
"As an owner, I want to be sure that USAspending only send grant records to my system.",Authentication,85
"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",Consistency,109
"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",Authentication,147
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",Aggregation,136
"As a user, I want to access the raw agency published files from FABS via USAspending.",Accessibility,85
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Aggregation,104
"As a Broker user, I want  to help create content mockups, so that I can submit my data efficiently.",Aggregation,99
"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.",Accessibility,132
"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",Contacts,136
"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",Contacts,107
"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",Consistency,115
"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",Consistency,126
"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.",Accessibility,122
"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.",Aggregation,130
"As an data user, I want to receive updates to FABS records.",Accessibility,59
"As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.",Consistency,137
"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.",Authentication,94
"As a website user, I want to see updated financial assistance data daily.",Consistency,73
"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.",Aggregation,178
"As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.",Consistency,122
"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",Accessibility,148
"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.",Consistency,146
"As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.",Aggregation,103
"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.",Accessibility,94
"As an Agency user, I want FABS deployed into production, so I can submit my Financial Assistance data.",Accessibility,102
"As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.",Aggregation,104
"As an agency user, I want to be confident that the data coming from SAM is complete.",Consistency,84
"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",Consistency,138
"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.",Accessibility,98
"As a broker team member, I want to make some updates to the SQL codes for clarity.",Accessibility,82
"As an agency user, I want to have all derived data elements derived properly.",Consistency,77
"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",Consistency,102
"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",Consistency,136
"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",Consistency,153
"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.",Consistency,155
"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.",Consistency,153
"As a user, I don't want to see NASA grants displayed as contracts.",Contacts,66
"As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired.",Authentication,157
"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.",Consistency,164
"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",Aggregation,112
"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.",Consistency,102
"As an agency user, I want to use the schema v1.1 headers in my FABS file.",Consistency,73
"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",Consistency,86
"As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.",Consistency,93
"As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",Consistency,181
"As an Agency user, I want FPDS data to be up-to-date daily.",Consistency,59
"As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.",Consistency,109
"As a user, I want to generate and validate D Files from FABS and FPDS data.",Aggregation,75
"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.",Consistency,119
"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",Accessibility,115
"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",Accessibility,146
"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",Consistency,126
"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",Accessibility,117
"As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live.",Aggregation,91
"As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.",Aggregation,117
"As an Agency user, I want historical FPDS data loaded.",Aggregation,54
"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",Authentication,131
"As an agency user, I want to get File F in the correct format.",Consistency,62
"As an Agency user, I want to better understand my file-level errors.",Contacts,68
"As a Developer , I want to provide FABS groups that function under the FREC paradigm.",Aggregation,85
"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",Consistency,118
"As an owner, I only want zero-padded fields, so that I can justify padding.",Consistency,75
"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.",Aggregation,100
"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",Aggregation,110
"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.",Consistency,152
"As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations.",Authentication,78
"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",Consistency,151
"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",Accessibility,124
"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.",Consistency,139
"As a data user, I want to access two additional fields from the FPDS data pull.",Accessibility,79
"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",Accessibility,132
"As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.",Accessibility,95
"As a Developer I want to quickly access Broker application data, so that I can investigate issues.",Accessibility,98
"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.",Aggregation,124
"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",Accessibility,102
"As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.",Accessibility,130
"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",Accessibility,127
"As a FABS user, I want to have my validations run in a reasonable amount of time.",Authentication,81
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",Accessibility,129
"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.",Consistency,128
"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.",Accessibility,127
"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.",Consistency,142
"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.",Accessibility,184
"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.",Authentication,182
"As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.",Contacts,187
"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.",Authentication,172
"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.",Contacts,150
"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.",Consistency,128
"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.",Consistency,143
"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.",Accessibility,114
"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.",Consistency,157
"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.",Aggregation,131
"As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.",Consistency,148
"As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.",Accessibility,157
"As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.",Accessibility,165
"As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.",Contacts,131
"As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.",Authentication,146
"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.",Consistency,138
"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.",Consistency,116
"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.",Consistency,143
"As a staff member, I want to denote an application with a Final Action status. So that I can finish it.",Consistency,103
"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).",Consistency,195
"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.",Accessibility,166
"As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.",Consistency,163
"As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.",Authentication,189
"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.",Consistency,207
"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.",Authentication,202
"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.",Consistency,129
"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.",Accessibility,116
"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.",Consistency,198
"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.",Authentication,123
"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.",Consistency,145
"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.",Contacts,186
"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.",Consistency,90
"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.",Consistency,128
"As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.",Consistency,145
"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met",Consistency,176
"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.",Contacts,130
"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.",Authentication,160
"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.",Consistency,222
"As an Applicant, I want to Resubmit Plans, so that I can review revised plans.",Consistency,78
"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project.",Consistency,191
"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work",Authentication,139
"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.",Consistency,134
"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",Contacts,128
"As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project.",Contacts,123
"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.",Contacts,112
"As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.",Contacts,133
"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.",Aggregation,124
"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.",Authentication,171
"As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.",Contacts,139
"As a l Staff member, I want to search for Property information, so that I can obtain all associated current and historic owners, permits, and applications.",Aggregation,155
"As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards.",Consistency,191
"As a County Staff Member, I want to create a custom query/report outside of the common querying/reporting functionality, so that I can fulfill a request.",Aggregation,153
"As a Staff member, I want to create each condo unit, so that I can associate it to the child parcel and address after the condominiums are recorded in the system.",Authentication,162
"As a Technical Staff member, I want to update the GIS Property Management, so that I can successfully update the transactional Parcel Pin to reference the GIS layer where the Split or Merged Parcel Pin exists.",Consistency,209
"As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.",Authentication,187
"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",Accessibility,93
"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account.",Accessibility,143
"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.",Accessibility,150
"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours.",Accessibility,148
"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.",Accessibility,99
"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.",Accessibility,211
"As a user, I want to add donation centers as favorites on my profile, so that I can view them later.",Aggregation,100
"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.",Authentication,120
"As a user, I want to be able to view a map display of the public recycling bins around my area.",Accessibility,95
"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",Accessibility,102
"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Accessibility,103
"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",Accessibility,101
"As a user, I want to view user documentation for the website, so that I know how to use the web app.",Accessibility,100
"As a user, I want to get feedback when I enter an invalid zip code.",Authentication,67
"As a user, I want to be able to create an acocunt, so that I can create my own profile.",Accessibility,87
"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information.",Consistency,129
"As an admin, I want to be able to read users' feedback and complaints, so that we can add more features and keep improving the service we provide to them.",Chat,154
"As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed.",Aggregation,117
"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.",Consistency,126
"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",Accessibility,108
"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.",Authentication,123
"As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status.",Aggregation,172
"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",Consistency,133
"As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance.",Accessibility,130
"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.",Accessibility,122
"As an employee from the HR department, I want to have access to the full information of all employees working for this business.",Accessibility,128
"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.",Accessibility,142
"As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website.",Consistency,101
"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.",Authentication,166
"As an admin, I want to handle all users' activities, so that I can manage more efficiently.",Aggregation,91
"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.",Accessibility,110
"As an employee, I want to get quick notifications, so that I can process cases the first time.",Aggregation,94
"As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement.",Accessibility,121
"As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.",Consistency,109
"As a developer, I want to attend some UI/UX lessons, so that I can develop an awesome and beautiful features website.",Contacts,117
"As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.",Aggregation,130
"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.",Accessibility,134
"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.",Authentication,125
"As a user, I want to contact the administrators, so that I can give feedback or ask for help.",Contacts,93
"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.",Consistency,110
"As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.",Accessibility,128
"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.",Consistency,110
"As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center.",Authentication,139
"As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.",Aggregation,164
"As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.",Accessibility,112
"As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.",Aggregation,212
"As an admin, I want to be able to communicate directly with facilities, so that I can keep them updated about features we have on our website.",Contacts,142
"As a user, I want to be able to browse through the list of facolities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint.",Consistency,206
"As a recyclingfacility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users.",Authentication,169
"As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.",Contacts,150
"As a Data Publishing User, I want to be able to edit a dataset I have published, So that I can correct or enhance existing data.",Accessibility,128
"As a Data Publishing User, I want to be able to edit the model of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",Consistency,169
"As a Data Publishing User, I want to be able to delete a dataset I have published, So that I can remove unwanted data from OpenSpending.",Accessibility,136
"As a Platform Administrator, I want to be able to Hide any dataset already added as Public, So that I can maintain Public/Hidden status for other users.",Consistency,152
"As a Platform Administrator, I want to have a view on all datasets published by all users, So that I can perform management actions on any dataset.",Accessibility,147
"As a Platform Administrator, I want to be able to delete any dataset published, So that I can deal with takedown requests, or clean up test datasets.",Accessibility,149
"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",Consistency,175
"As a Data Publishing User, I want to have the Packager support Constants, So that I can model dimensions that may not exist in the source file.",Consistency,143
"As a Data Publishing User, I want to be able to import data in Excel, So that I do not have to convert data formats in order to use the data packager.",Accessibility,150
"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, So that I can visualise it on a map.",Accessibility,135
"As a Data Publishing User, I want to be able to import data in JSON, So that I do not have to convert data formats in order to use the data packager.",Consistency,149
"As a Data Publishing User, I want to be able to import data from a Google Spreadsheet, So that I do not have to convert data formats in order to use the data packager.",Accessibility,167
"As a Data Publishing User, I want to be able to import data from Fiscal Data Package descriptor file, So that I do not have to convert data formats in order to use the data packager.",Accessibility,182
"As a Data Publishing User, I want to be able to provide the Platform Administrator with additional GeoJSON sources, So that I can improve the map-based visualisations of my data.",Accessibility,178
"As a Data Consuming User, I want to be able to filter, sort and aggregate data by multiple dimensions and measures, So that I can get more granular views on the data.",Aggregation,166
"As a Data Consuming User, I want to be able to download a CSV of the data that is used in any visualisation I am viewing, So that I can use the data in other tools.",Accessibility,164
"As a Data Consuming User, I want to be able to change the display of all monetary measures across a set of currencies, So that I can understand localised amounts in non-localised figures.",Aggregation,187
"As a Data Consuming User, I want to see textual descriptions that accompany embedded visualisations, So that I can more easily understand what I am viewing.",Accessibility,156
